Aarhus,http://www.odaa.dk/,International Regional
Alabama,http://open.alabama.gov/,US State
Alaska,http://dggs.alaska.gov/pubs/series/dggs/digital-data-series,US State
Alaska GIS,https://gis.data.alaska.gov/,US State
Alberta,https://open.alberta.ca/opendata,International Regional
Albuquerque,http://www.cabq.gov/abq-data/,US City or County
Alexandria VA,https://www.alexandriava.gov/gis/basic-page/open-data,US City or County
Alkmaar,https://datalab.alkmaar.nl/opendata.html,International Regional
Allerdale,http://datacatalogs.org/catalog/allerdale,International Regional
Amsterdam O+S,https://data.amsterdam.nl/,International Regional
Anchorage,https://www.muni.org/Departments/it/Pages/opendata.aspx,US City or County
Angers,http://data.angers.fr/,International Regional
Ann Arbor,https://www.a2gov.org/services/data/Pages/default.aspx,US City or County
Antwerp,https://dams.antwerpen.be/content/open-data,International Regional
Aquitaine and Gironde,https://www.data.gouv.fr/en/organizations/gironde-numerique/,International Regional
Aragon,http://opendata.aragon.es/,International Regional
Argentina ,https://datos.gob.ar,International Country
Arizona,http://openbooks.az.gov/app/transparency/index.html,US State
Arizona Goelogical Survey,https://azgs.arizona.edu/index.php,Other State Related
Arkansas ,https://transparency.arkansas.gov/,US State
Arkansas Geographic Information Office,http://gis.arkansas.gov/,Other State Related
Arlington ,https://data.arlingtonva.us/home,US City or County
Arvada,http://arvada.org/opendata/,US City or County
Asheville,https://data-avl.opendata.arcgis.com/,US City or County
Asturias,https://transparencia.asturias.es/,International Regional
Atlanta,http://gis.atlantaga.gov/,US City or County
Austin,http://data.austintexas.gov/,US City or County
Australia,http://data.gov.au/,International Country
Australian Capital Territory,https://www.data.act.gov.au/,International Regional
Austria,http://data.gv.at/,International Country
Badalona,https://datos.gob.es/es/iniciativas/open-data-badalona,International Regional
Bah’a Blanca,https://datos.bahia.gob.ar/dataset,International Regional
Bahrain,http://www.bahrain.bh/wps/portal/data/,International Country
Balearic Islands,https://datos.gob.es/en/catalogo/a04003003-guies-turistics-illes-balears,International Regional
Baltimore,http://data.baltimorecity.gov/,US City or County
Barcelona,https://opendata-ajuntament.barcelona.cat/en/,International Regional
Bari,http://opendata.comune.bari.it/,International Regional
Baton Rouge,https://data.brla.gov/,US City or County
Belgium,http://data.gov.be/,International Country
Belleville,https://www.belleville.net/541/Open-Government,US City or County
Berlin,http://daten.berlin.de/,International Regional
Birmingham,http://www.birmingham.gov.uk/open-data,International Regional
"Bloomington, Indiana",https://data.bloomington.in.gov/,US City or County
Bologna,http://dati.comune.bologna.it/,International Regional
Boston,https://data.cityofboston.gov/,US City or County
Boston Enterprise GIS,http://www.cityofboston.gov/maps/,US City or County
Brazil,http://dados.gov.br/,International Country
Bremen,http://www.daten.bremen.de/,International Regional
Brisbane,https://www.data.brisbane.qld.gov.au/,International Regional
British Columbia,http://www.data.gov.bc.ca/,International Regional
British Columbia Local Government,http://www.civicinfo.bc.ca/,International Regional
"Buenos Aires, Argentina",http://data.buenosaires.gob.ar/,International Regional
Burlington,https://navburl-burlington.opendata.arcgis.com/pages/data,International Regional
Burlington GIS,https://data-burlingtonvt.opendata.arcgis.com/,US City or County
California,https://data.ca.gov/,US State
Canada,http://open.canada.ca/en,International Country
Castilla-La Mancha,https://datosabiertos.castillalamancha.es/,International Regional
Catalonya,http://dadesobertes.gencat.cat/,International Regional
Chamber of Deputies,http://dati.camera.it/it/,International Regional
Champaign,https://gis-cityofchampaign.opendata.arcgis.com/,US City or County
Chapel Hill,https://www.chapelhillopendata.org/page/home1/,US City or County
"Charlotte, NC",https://data.charlottenc.gov/,US City or County
Chesapeake VA,https://public-chesva.opendata.arcgis.com/,US City or County
Chicago,http://data.cityofchicago.org/,US City or County
Chile,http://datos.gob.cl/,International Country
Colombia,www.datos.gov.co,International Country
Colombus,https://opendata.columbus.gov/,US City or County
Colorado,https://data.colorado.gov/,US State
Connecticut,http://transparency.ct.gov/html/main.asp,US State
Cook County,http://data.cookcountyil.gov/,US City or County
County of Grand Prairie No. 1,http://www.countygp.ab.ca/EN/main/community/maps-gis/open-data/data.html,International Regional
CSIRO,https://data.csiro.au/dap/home?execution=e1s1,International Regional
Delaware,http://www.delaware.gov/data/,US State
Denmark,http://digitaliser.dk/,International Country
Denver,http://data.denvergov.org/,US City or County
Denver Regional Council,https://drcog.org/,Other State Related
District of Columbia,http://data.dc.gov/,US State
District of North Vancouver,http://geoweb.dnv.org/data/,International Regional
Durham,https://durhamnc.gov/1487/Open-Government,US City or County
Edmonton,http://data.edmonton.ca/,International Regional
Emilia-Romagna Open Data,http://dati.emilia-romagna.it/,International Regional
Enschede,https://www.enschede.nl/open-data,International Regional
Estonia,https://www.europeandataportal.eu/en/news/open-data-portal-estonia,International Country
European Union,https://data.europa.eu/en,International Regional
Euskadi (Basque Country),http://opendata.euskadi.net/,International Regional
Fairfax County,https://www.fairfaxcounty.gov/maps/open-geospatial-data,US City or County
